source_id,ra,ra_error,dec,dec_error,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,a_g_val,e_bp_min_rp_val
17418285,236.09342000189915,0.0050971135,10.3395399996551,0.0044472534,1227925.1,165.30013,10.465471,738511.4,471.55347,10.680508,620327.6,400.70312,10.280348,0.0,0.0
17418286,235.68595000135412,0.005125372,10.377939999468914,0.004467709,2470357.5,332.76993,9.706501,1191089.6,762.1177,10.161539,1534299.8,987.69336,9.297125,0.0,0.0
17418287,234.35329999922095,0.00513393,10.484530002374429,0.004459846,1583859.1,213.86552,10.189109,911587.44,584.0209,10.451904,841145.2,544.41833,9.949722,0.0,0.0
17418288,235.22186000321696,0.0050978246,10.515969998912768,0.0044446755,662364.25,89.210236,11.135658,413991.12,265.09735,11.308923,319568.75,208.01263,11.000489,0.0,0.0
17418289,234.6390399986555,0.0051305816,10.523710003652251,0.004464094,531694.0,71.71302,11.374247,280673.03,180.85252,11.730899,306187.97,199.82455,11.04693,0.0,0.0
17418290,236.33517999710878,0.0050849593,10.533110002315265,0.004452508,1114591.8,149.67545,10.570611,585254.75,373.10864,10.933038,644265.5,414.00153,10.239238,0.0,0.0
17418291,234.35339000100322,0.00514805,10.552909998869168,0.0044763368,741879.2,100.10826,11.0125675,340023.88,218.3589,11.522627,479966.56,309.99316,10.558873,0.0,0.0
17418292,235.49673999788496,0.0051306053,10.570199998942702,0.0044811424,13177904.0,1772.6986,7.888785,4980574.5,3187.5183,8.608202,9718876.0,6230.4443,7.292861,0.0,0.0
17418293,234.79253000178784,0.0052171648,10.578549998766231,0.0045454646,10122430.0,1364.0142,8.175188,675738.5,436.90598,10.776954,11970180.0,7644.1313,7.0666485,0.0,0.0
17418294,234.42733000009764,0.0051361006,10.595259999553354,0.0044697947,726393.94,97.95972,11.03547,354821.72,227.67862,11.476376,446502.25,288.62128,10.637341,0.0,0.0
17418295,235.6207500005435,0.0051126964,10.6012399988342,0.0044694566,3458653.5,464.97617,9.341134,1513148.6,966.87744,9.901696,2312236.5,1483.6686,8.851819,0.0,0.0
17418296,234.70644000179203,0.005127248,10.61575999907898,0.004467999,30982606.0,4174.389,6.9606066,15013492.0,9608.152,7.4101963,19186772.0,12354.557,6.5543957,0.0,0.0
17418297,235.179349999056,0.005125305,10.630139999323156,0.004475025,1600761.5,215.3847,10.177584,669878.3,428.53082,10.786411,1105917.2,709.8433,9.652594,0.0,0.0
17418298,235.7784999998466,0.005116876,10.631639999400846,0.0044775833,1683628.9,226.18922,10.122785,636326.4,406.7149,10.842201,1241698.2,794.9797,9.52686,0.0,0.0
17418299,236.20127999924358,0.0050838417,10.643449998192278,0.004456246,2574968.0,345.53528,9.66147,1257793.6,801.6544,10.102377,1582790.0,1015.2014,9.263342,0.0,0.0
17418300,235.14162000038908,0.005133257,10.65896000042808,0.004483139,3474120.8,467.3635,9.336289,1270313.5,813.18304,10.091623,2607269.0,1671.0808,8.721436,0.0,0.0
17418301,234.84831000108807,0.0051169414,10.745670000016036,0.0044694184,5634779.0,757.9688,8.811209,2526419.0,1615.037,9.345136,3705995.5,2380.0085,8.339638,0.0,0.0
17418302,236.10924999774394,0.005054562,10.771069998526029,0.0044370187,744040.94,99.744354,11.009409,443660.6,282.50125,11.233773,380869.1,245.61502,10.80996,0.0,0.0
17418303,236.12759000087783,0.0050675552,10.824039998939917,0.0044520237,8661079.0,1160.4473,8.34447,4230669.0,2692.2766,8.7853775,5323827.0,3409.4604,7.946341,0.0,0.0
17418304,236.015060003456,0.0050583095,10.83022999655406,0.0044424655,1510494.4,202.42657,10.2406025,832721.56,529.6089,10.550151,831228.94,533.56805,9.962599,0.0,0.0
17418305,235.93448999955356,0.005064521,10.842800000495759,0.004447396,959210.75,128.55743,10.733616,502480.75,319.71814,11.098602,556052.44,356.59665,10.399111,0.0,0.0
17418306,235.84131000107635,0.005057113,10.854800000963255,0.004440124,607523.56,81.43237,11.229492,349065.75,222.88449,11.494132,323640.72,209.57118,10.986742,0.0,0.0
17418307,235.8132500012093,0.005045677,10.932010001184342,0.0044344207,880508.6,117.94505,10.826567,525278.75,333.75674,11.050426,448535.5,288.24683,10.632408,0.0,0.0
17418308,235.52375000091132,0.0050528604,10.97741999742408,0.0044388277,9249461.0,1239.3351,8.273109,5323517.5,3384.3616,8.535904,4912146.5,3154.868,8.033722,0.0,0.0
17418309,234.43938999908315,0.0050792047,10.999809998583414,0.0044453526,600177.6,80.62247,11.242701,346546.53,221.77927,11.501997,317185.75,205.95728,11.0086155,0.0,0.0
17418310,234.37893999968284,0.0051109456,11.00869000037962,0.004472666,2014756.6,270.66367,9.927844,819360.5,523.43243,10.567713,1418440.5,908.74,9.382373,0.0,0.0
17418311,234.80915000050382,0.005076925,11.010339998937411,0.004450183,1047276.8,140.53421,10.638247,552841.9,352.1805,10.994898,603097.3,387.2947,10.310931,0.0,0.0
17418312,235.7532600000241,0.005039139,11.01767999816566,0.0044330205,4630160.0,619.80426,9.024409,2760902.0,1753.1387,9.248774,2370153.0,1521.9867,8.82496,0.0,0.0
17418313,235.36548000057624,0.0050328635,11.02920000035514,0.004421877,1455601.6,195.01764,10.280794,981256.75,623.07117,10.371943,633435.6,408.6665,10.257644,0.0,0.0
17418314,234.5544200003338,0.0050674067,11.045799998347107,0.0044397893,581673.06,78.079384,11.276703,348974.53,223.1896,11.494416,295011.28,191.83623,11.087304,0.0,0.0
17418315,235.49803999852935,0.00508097,11.060179997582747,0.004468274,3504666.8,469.2525,9.326784,1324585.0,843.77057,10.046201,2584734.8,1649.2643,8.730861,0.0,0.0
17418316,235.73522999833614,0.0050905556,11.075269999583735,0.004481575,2480495.2,331.8792,9.702054,726728.94,463.3783,10.697969,2103103.8,1338.369,8.954748,0.0,0.0
17418317,234.45485000234407,0.0050853333,11.091029999204784,0.004456633,512356.0,68.76281,11.414471,250270.33,160.69838,11.855377,314937.06,204.34416,11.016341,0.0,0.0
17418318,234.39182000085566,0.0050821295,11.151159998788671,0.0044564977,21299042.0,2857.355,7.367501,10269391.0,6543.983,7.8225393,13228497.0,8480.906,6.958124,0.0,0.0
17418319,235.06856000022603,0.005061469,11.171340000755148,0.0044509456,658745.25,88.20418,11.141606,319213.84,203.66173,11.591196,407944.8,262.32877,10.735396,0.0,0.0
17418320,235.129180003379,0.0050868727,11.255490000467626,0.0044795787,1448162.0,193.72137,10.286358,424513.53,270.5809,11.281672,1212177.4,771.3878,9.552985,0.0,0.0
17418321,236.1327500011548,0.005007433,11.26647999974713,0.0044267448,17777856.0,2372.0056,7.5637007,10265063.0,6498.155,7.822996,9395357.0,6009.413,7.329616,0.0,0.0
17418322,235.03252000282944,0.005037237,11.304589999889682,0.0044373176,1544820.6,206.60614,10.216206,853815.56,541.9396,10.52299,854412.94,547.28076,9.932731,0.0,0.0
17418323,235.6874100013506,0.005029873,11.31667000034976,0.0044424227,593384.8,79.22148,11.255059,288834.16,184.02785,11.6997795,365660.8,235.06514,10.854204,0.0,0.0
17418324,236.2732100002803,0.004983067,11.362219998289975,0.0044134427,642535.44,85.624176,11.168657,411076.44,260.49832,11.316594,302238.0,194.97249,11.061028,0.0,0.0
17418325,234.48699000027784,0.0050538997,11.373729999522585,0.004447147,724690.75,96.99204,11.038018,362991.9,231.12726,11.451658,436655.66,280.25723,10.661552,0.0,0.0
17418326,236.1522600008058,0.00501234,11.422060001530028,0.004441153,20889758.0,2783.0286,7.3885674,9574357.0,6060.8516,7.898627,13514835.0,8598.376,6.9348726,0.0,0.0
17418327,236.25758999849634,0.0049991575,11.471459999342807,0.004434291,4039916.2,537.8312,9.17247,1973374.0,1247.7865,9.613377,2483266.5,1580.1757,8.774342,0.0,0.0
17418328,235.39945999813506,0.0050188904,11.478359999199764,0.0044380706,2685052.0,358.18823,9.616018,1344921.5,852.0097,10.029658,1617856.6,1031.9668,9.239551,0.0,0.0
17418329,234.86696000128694,0.0050718687,11.49080000071321,0.0044767302,3757848.2,501.90985,9.251053,1100963.2,700.7787,10.246968,3186112.2,2024.0492,8.503748,0.0,0.0
17418330,234.78900000081245,0.0050123194,11.542310000006866,0.0044260668,773386.75,103.26639,10.967409,461159.1,292.35028,11.191773,395891.03,254.05502,10.767961,0.0,0.0
17418331,236.00618000128247,0.0049958653,11.569930000489672,0.0044334373,736499.1,98.01961,11.02047,359757.03,227.77625,11.461377,452713.78,288.71622,10.622341,0.0,0.0
17418332,234.50391999945995,0.005043853,11.582579999606033,0.0044516083,903870.44,120.73085,10.798135,395440.97,251.04982,11.358696,604271.8,385.23477,10.308819,0.0,0.0
17418333,234.4409699993953,0.005054796,11.603220001096844,0.004461488,9074990.0,1212.115,8.293785,3429886.5,2179.5261,9.013202,6692924.0,4260.1797,7.6978607,0.0,0.0
17418334,236.01266999888384,0.004976628,11.617059999997121,0.0044194222,1230038.2,163.62984,10.463604,701435.56,442.7448,10.736431,656994.3,418.8812,10.217996,0.0,0.0
17418335,236.266450002144,0.0049792924,11.667890000132328,0.00442914,621115.5,82.53637,11.205469,303395.7,192.25891,11.646377,381788.94,244.02798,10.807342,0.0,0.0
17418336,236.33517999997457,0.004951279,11.689310001491606,0.004406682,744555.75,98.90367,11.008657,465361.97,293.50195,11.181923,359223.0,229.88388,10.873489,0.0,0.0
17418337,235.8428599973802,0.0050075534,11.711009999805094,0.0044500018,42489404.0,5649.703,6.617699,15722506.0,9947.167,7.3600955,31655918.0,20056.184,6.0107636,0.0,0.0
17418338,234.92492000174948,0.0050269617,11.749580000090457,0.004454272,1285424.1,171.24591,10.415785,485824.7,307.9201,11.135201,948016.06,601.87164,9.81986,0.0,0.0
17418339,235.54061999782041,0.004971624,11.751089999560941,0.004415586,733466.5,97.56298,11.02495,434983.75,274.87204,11.2552185,375890.47,240.5983,10.824247,0.0,0.0
17418340,235.67349999870842,0.0049616876,11.766750000331431,0.0044099367,2798766.5,372.10632,9.570983,1740737.0,1097.5221,9.749568,1363192.6,870.3928,9.425508,0.0,0.0
17418341,234.43356999952994,0.005023423,11.76912000066564,0.004444026,545925.06,72.80572,11.345568,250212.62,159.56827,11.855627,353192.38,227.0021,10.891872,0.0,0.0
17418342,236.251569999685,0.004962678,11.797669998547942,0.0044222735,1110272.9,147.36617,10.574826,565974.25,356.6912,10.969409,656473.75,416.77554,10.218857,0.0,0.0
17418343,235.93866999827,0.004941481,11.80734000152925,0.004398868,4465709.0,593.1267,9.063675,2981503.5,1876.9025,9.165312,1966975.4,1257.6462,9.027403,0.0,0.0
17418344,236.29904999954252,0.0049409154,11.847099997904767,0.0044067577,1949718.1,258.63828,9.96347,1172620.9,737.821,10.178507,984965.6,626.9637,9.778348,0.0,0.0
17418345,234.49446000070742,0.004990761,11.912120000938385,0.004425073,599532.8,79.836365,11.243868,333102.4,211.4098,11.544956,330557.9,212.52357,10.963781,0.0,0.0
17418346,236.06442000064104,0.004952581,11.920809998314287,0.0044179456,747586.6,99.159134,11.004247,394639.84,248.83224,11.360898,430514.16,273.9208,10.676931,0.0,0.0
17418347,236.30016999836548,0.00493556,11.949249998437148,0.0044084163,876832.0,116.20601,10.831109,504659.72,317.33395,11.093904,465662.5,295.81555,10.5917225,0.0,0.0
17418348,235.50155000088864,0.0049512233,11.965679997877373,0.0044102273,588838.44,78.177444,11.26341,351116.06,222.08383,11.487774,301423.1,193.73514,11.063959,0.0,0.0
17418350,235.61706834768142,0.20323563,10.535971452421817,0.17750238,590.16046,0.85979587,18.760975,385.42163,4.7365685,18.88656,270.46527,7.6624837,18.681622,0.114019714,0.057009857
17418351,234.86101948307765,0.21000141,10.745104570332455,0.18343401,581.0778,0.85623115,18.777815,68.97343,1.6468248,20.754696,629.97504,7.8196607,17.763592,0.1310878,0.0655439
17418352,235.16613792098724,0.115727276,10.98591710811808,0.10154138,1247.508,1.0829494,17.948292,150.06686,1.7140397,19.910688,1360.0808,8.174597,16.927988,0.12892745,0.06446373
17418353,234.56267395254187,0.088110566,11.479161682801278,0.07766927,1817.1034,1.2460388,17.539951,300.84167,2.2297392,19.155556,1844.8424,8.436478,16.597002,0.11920874,0.05960437
17418354,235.2783978075487,0.09183019,10.324608170076198,0.07986915,1758.3208,1.2409986,17.575655,303.5918,2.3319716,19.145676,1777.9426,8.477933,16.637106,0.15216081,0.076080404
17418355,235.0025957969369,0.07298772,11.206232011470282,0.06419933,2424.8535,1.4086874,17.226686,400.5956,2.2804282,18.844635,2463.0166,8.781392,16.283232,0.12655205,0.06327602
17418356,236.15438179037073,0.060422007,11.820813445916968,0.053840738,3173.096,1.5760893,16.934692,539.6055,2.392903,18.52121,3223.488,9.118764,15.991085,0.13640022,0.06820011
17418357,234.86060784965545,0.08593832,10.701604978303035,0.07502076,1924.4315,1.2840018,17.477644,317.49585,2.2474978,19.097055,1955.293,8.551807,16.53387,0.13113637,0.06556819
17418358,235.80844954184917,0.08885912,11.189392517270404,0.07837566,1792.9155,1.2388244,17.5545,300.99118,2.272775,19.155016,1831.6216,8.425598,16.60481,0.12275427,0.061377134
17418359,234.98896087609958,0.04544584,11.867509823322804,0.04034546,5139.31,1.9926344,16.411139,893.0877,2.5978563,17.974165,5189.005,10.1635065,15.47419,0.12967421,0.064837106
17418360,234.7378037787815,0.019191194,10.044659332701158,0.016594337,26676.705,5.3902946,14.62307,6754.596,6.670331,15.777402,23908.111,21.590893,13.8155365,0.111122034,0.055561017
17418361,235.794952115104,0.01351524,10.074979992737383,0.011736305,52027.25,8.806418,13.897823,13136.775,10.584332,15.055179,46442.33,35.61825,13.094615,0.12494161,0.062470805
17418362,235.12187859329185,0.18230227,11.008188726216696,0.15997903,686.5898,0.89321005,18.596657,82.76413,1.6736085,20.556795,744.5284,7.8535423,17.582197,0.12882043,0.06441022
17418363,235.3960949493598,0.29968446,10.667782669245248,0.26200753,380.30936,0.7814057,19.238058,45.846157,1.7208456,21.198143,414.48712,7.935801,18.218122,0.12197865,0.060989324
17418365,234.47492008854877,0.3216398,11.641040149159505,0.28407496,344.8126,0.7609642,19.344442,40.928535,1.6816181,21.321335,375.91006,7.861731,18.32419,0.1337881,0.06689405
17418366,236.14676181403962,0.35030472,10.388568201120654,0.3059097,318.55283,0.75540066,19.430447,37.704826,1.6783372,21.410408,345.51123,7.9064565,18.415745,0.14027189,0.07013594
17418369,236.1150127384594,0.092605434,10.991819698020327,0.08154513,1692.8301,1.212052,17.616867,294.33945,2.319057,19.17928,1708.9803,8.369413,16.680058,0.12770416,0.06385208
17418370,234.9375149154292,0.10254225,11.159826968333972,0.09011468,1468.9362,1.1486536,17.770893,245.75357,2.2432296,19.37515,1500.6661,8.270417,16.82119,0.12648451,0.06324226
17418371,235.21875606432022,0.076309934,11.456532070083867,0.06741243,2243.5005,1.3582785,17.311085,372.42963,2.267015,18.92379,2276.4211,8.655425,16.368769,0.11011977,0.055059884
17418372,234.4568360508036,0.08231172,11.787697403859994,0.0728435,1993.7489,1.2909089,17.439224,328.69495,2.2313645,19.059418,2026.0377,8.5109005,16.495281,0.13358699,0.066793494
17418373,236.33306072472342,0.039423224,11.214707142805647,0.03485161,6631.083,2.282687,16.13444,1435.3865,3.2576191,17.458979,6309.6353,10.824956,15.261889,0.1491912,0.0745956
17418374,235.91352277633385,0.033267587,11.548929363035192,0.029503446,8915.721,2.6630335,15.813009,1849.9052,3.371699,17.183527,8543.416,12.013503,14.932821,0.12741075,0.06370538
17418375,235.20058784357582,0.022459297,10.336774885551657,0.019531665,19443.865,4.3368,14.966444,4872.012,5.488791,16.13213,17490.324,17.552967,14.154905,0.1519729,0.07598645
17418376,234.8287534011405,0.01730749,11.863677957030895,0.01535487,30340.734,5.798575,14.4833355,7615.9004,7.047394,15.647098,27140.156,23.192486,13.67787,0.14858134,0.07429067
17418377,235.06822008032864,0.016411757,11.490425955570657,0.0144969085,34027.934,6.3158054,14.358811,8616.367,7.6984177,15.51309,30452.506,25.298964,13.552843,0.118385606,0.059192803
17418378,234.86459811914793,0.013750486,10.175705521750528,0.01191683,50397.754,8.602332,13.932373,15265.685,12.216404,14.89211,41823.363,32.761917,13.208353,0.12771198,0.06385599
17418379,236.08138177729484,0.013272815,11.698441309259712,0.011803359,50284.223,8.438188,13.934821,15177.009,11.948426,14.898436,41867.1,32.22003,13.207218,0.12758915,0.063794576
17418380,235.51630640991618,0.40039837,10.782129317467211,0.35077283,272.61603,0.7334146,19.599522,32.92932,1.7059815,21.557444,295.52432,7.8640447,18.585417,0.122068994,0.061034497
17418384,235.38956500028166,0.08718168,11.535666759914157,0.077151895,1830.5981,1.2465233,17.531918,313.66663,2.3001745,19.11023,1856.5109,8.420836,16.590157,0.1103407,0.05517035
17418385,234.3104204144687,0.029037433,11.352731385821148,0.025526669,11656.915,3.1286883,15.521941,2898.883,4.245806,16.695824,10356.045,13.1442795,14.723915,0.11746389,0.058731943
17418386,234.77050368689015,0.017120719,11.657330000333197,0.015141664,31132.988,5.918498,14.455348,9312.001,8.363132,15.428793,25856.771,22.452776,13.730465,0.11938073,0.059690364
17418387,235.57141314220712,0.5797442,10.091287210079512,0.5031433,184.1669,0.70237553,20.025372,22.603178,1.7497023,21.965977,200.2366,7.870493,19.008041,0.12451645,0.062258225
17418388,235.77629252658872,0.37469473,10.075039613057937,0.32535425,297.90182,0.7492643,19.503218,35.899597,1.7138405,21.463676,322.98364,7.9264064,18.488949,0.12490747,0.062453736
17418389,236.16872669707138,0.2966218,11.65020461827183,0.26368704,374.4903,0.7702896,19.254799,44.532578,1.6783513,21.229706,408.14667,7.8444557,18.23486,0.12781042,0.06390521
17418390,235.63001694522595,0.123839274,11.443776597915122,0.10954859,1116.0011,1.0354636,18.069239,190.25026,2.2218308,19.653088,1133.0991,8.009228,17.12623,0.12792504,0.06396252
17418391,234.9258259300167,0.15261428,10.75219322772386,0.1333522,865.5841,0.9600431,18.345127,150.3521,2.2482936,19.908627,874.0431,7.9405804,17.408068,0.1312022,0.0656011
17418392,234.68370718964425,0.11571845,11.74897315272754,0.10244044,1222.8999,1.0688406,17.969923,203.75377,2.1976287,19.578636,1251.3779,8.066164,17.018429,0.1484028,0.0742014
17418393,234.80366957153691,0.1168365,11.960196576094107,0.10378671,1198.5284,1.0587988,17.99178,196.7335,2.1442757,19.616705,1219.0839,8.031569,17.046816,0.14841335,0.07420667
17418394,234.9165336032347,0.09618291,10.369190672105237,0.08359546,1646.9088,1.209767,17.646727,274.66537,2.2700202,19.25439,1683.6417,8.431459,16.696276,0.13715184,0.06857592
17418396,235.86560171736576,0.06968929,11.453541061780593,0.061709836,2567.8223,1.4380894,17.164488,429.48093,2.324434,18.769041,2623.446,8.828576,16.21472,0.12741323,0.063706614
17418397,235.2241923185339,0.08216192,10.430119525583137,0.07155047,2068.9473,1.3253745,17.399027,339.2607,2.2527878,19.025066,2104.8965,8.646894,16.453823,0.15190093,0.075950466
17418398,235.06805539740202,0.063374415,10.798190220254035,0.05544037,3064.0085,1.5700316,16.972675,532.56134,2.4513474,18.535477,3093.4968,9.159005,16.035776,0.1289552,0.0644776
17418399,235.02701852992547,0.05633425,10.98453165665938,0.049402233,3674.677,1.7023873,16.775352,842.7222,3.053124,18.03719,3427.2043,9.257651,15.92455,0.12867104,0.06433552
17418400,234.50737799025273,0.04729557,11.088753878622592,0.041455306,4938.1543,1.9693477,16.454489,1024.4059,2.967132,17.82522,4732.208,9.989796,15.574241,0.12812395,0.06406198
17418401,234.36383347730697,0.049170386,11.538044058998357,0.04334656,4558.819,1.8845414,16.54127,948.533,2.920506,17.90877,4365.0923,9.745578,15.661917,0.11736809,0.058684044
17418402,234.70356741743134,0.043580096,11.836753369956043,0.03863026,5528.5947,2.0708263,16.331863,1197.016,3.1236005,17.65615,5260.236,10.210428,15.459387,0.14833364,0.07416682
17418403,235.69771391583018,0.037378613,10.6364091700415,0.03270113,7486.6885,2.4547803,16.002676,1568.033,3.3020294,17.363012,7208.02,11.422926,15.11736,0.114060305,0.057030153
17418404,235.08365440001816,0.030638725,11.636184704434509,0.027121147,10378.162,2.9087725,15.648099,2609.7437,4.127698,16.809906,9352.987,12.4968815,14.834524,0.11827863,0.059139315
17418405,234.54923283862158,0.034544673,11.280423138226682,0.030364871,8492.642,2.606606,15.865793,2141.0942,3.880609,17.02481,7622.894,11.547979,15.056601,0.12799048,0.06399524
17418406,234.5383585168783,0.017432654,10.924836987257047,0.01524694,31004.08,5.9454293,14.459853,9420.514,8.548618,15.416214,25880.174,22.636059,13.729482,0.12934892,0.06467446
17418407,236.00941782593105,0.017127343,11.197962518131234,0.015119694,31269.744,5.9443645,14.45059,9447.886,8.488658,15.413064,26023.328,22.582373,13.723493,0.123128444,0.061564222
17418409,0.0,0.0,0.0,0.0,46.40959,0.0,21.521881,3.5934553,0.0,23.96262,53.307407,0.0,20.444931,0.14045209,0.07022604
17418412,236.04753163710453,0.3629158,11.282915968813267,0.3208041,300.12,0.74115217,19.495163,36.239994,1.6962988,21.45343,325.35605,7.8313828,18.481003,0.123117365,0.061558682
17418415,235.2787519579145,0.740584,11.63946263347234,0.65607154,137.25862,0.6701213,20.344551,16.920511,1.734353,22.280367,149.1284,7.741244,19.328,0.110063076,0.055031538
17418416,235.7630421606905,0.53485703,10.482555369145,0.46703583,199.10364,0.7064749,19.940702,23.563456,1.6749332,21.920803,215.95782,7.843723,18.925978,0.14068763,0.070343815
17418417,235.49207483968914,0.6262303,11.335817443837382,0.55283916,165.09435,0.68512946,20.14407,19.708422,1.6862072,22.11477,179.82217,7.770448,19.124792,0.11513444,0.05756722
17418421,235.3694284686851,0.5071384,11.141989967028254,0.44628322,208.47336,0.7071358,19.890774,24.908518,1.6789869,21.86053,225.78491,7.80662,18.877663,0.10984172,0.05492086
17418422,234.72496203849357,0.35134682,10.511826220759781,0.30575237,319.33005,0.75757146,19.427801,37.93504,1.6986811,21.4038,348.0839,7.9272957,18.40769,0.13109532,0.06554766
17418423,234.39025398146762,0.39300203,11.440083242008729,0.3460138,276.16373,0.7325242,19.585484,32.91827,1.6768343,21.557808,299.20712,7.83928,18.57197,0.1175102,0.0587551
17418424,236.18678533501932,0.33700755,10.792912371687672,0.2960074,329.77252,0.75729537,19.392864,39.360165,1.6836017,21.363758,357.21634,7.88105,18.379572,0.113243,0.0566215
17418425,234.6748267485761,0.2665985,11.340340794263271,0.23464887,430.00323,0.7985831,19.104721,71.00482,2.1688845,20.72318,436.81607,7.908373,18.161154,0.12815474,0.06407737
17418426,235.39191757688414,0.21456024,10.524888147794044,0.18721005,565.75397,0.8509577,18.806831,93.58658,2.131867,20.423367,574.49646,7.794922,17.863682,0.12212383,0.061061915
17418428,235.36956753818563,0.22969943,11.390490491245032,0.20284316,510.33316,0.82926667,18.918766,84.72941,2.1793017,20.531315,517.8052,7.9327993,17.976484,0.10962643,0.054813214
17418429,234.5655729595738,0.15511198,10.66483054326225,0.13518907,851.5738,0.9568415,18.362844,147.47797,2.2459602,19.929583,860.48236,7.9477086,17.425045,0.14160839,0.07080419
17418430,234.93317222444418,0.10812601,10.073267675443777,0.09359866,1404.5061,1.141254,17.819592,231.93471,2.2186549,19.437986,1426.7406,8.318331,16.876038,0.12795332,0.06397666
17418432,235.52267206265304,0.10368732,11.352010721348497,0.09156697,1431.8676,1.1338761,17.798643,240.35039,2.2384744,19.399288,1461.7236,8.222879,16.849737,0.11517402,0.05758701
17418433,235.8080356837053,0.100623734,11.355672222066264,0.08896028,1490.4174,1.1503923,17.75513,246.50943,2.196511,19.371817,1513.4908,8.244488,16.81195,0.1225909,0.06129545
17418434,235.0237952733473,0.102749296,11.280375359913965,0.09047847,1458.4661,1.1439872,17.77866,240.9474,2.197768,19.396595,1481.4165,8.249473,16.835207,0.12650959,0.063254796
17418435,236.2775178036255,0.08695139,11.339291056732153,0.07698805,1835.9675,1.2475766,17.528738,311.08643,2.2802565,19.119198,1866.6385,8.423086,16.58425,0.14891332,0.07445666
17418436,235.0206804901189,0.09996684,10.479022332845615,0.08704969,1551.4285,1.1803583,17.71157,255.49939,2.2170286,19.332926,1576.9202,8.36364,16.767376,0.13722743,0.068613715
17418437,234.93320307753206,0.06788834,10.806508950037598,0.059366327,2742.974,1.4934945,17.092846,566.5944,2.7431636,18.46822,2631.681,8.905292,16.211317,0.14356785,0.07178392
17418438,234.52049394772723,0.06274247,10.782395513429416,0.054763664,3123.0203,1.5863512,16.951963,651.29205,2.8262298,18.316961,3010.378,9.125714,16.065348,0.12947413,0.06473707
17418439,236.11687278509024,0.061147034,10.728847035143023,0.05364614,3213.4963,1.6018028,16.920956,721.85297,2.9766767,18.205278,3020.1921,9.096447,16.061813,0.11317832,0.05658916
17418440,236.20891407688455,0.059385117,11.009279518314187,0.05232323,3340.7227,1.6263636,16.8788,687.7305,2.807097,18.257854,3234.995,9.190876,15.987216,0.12787268,0.06393634
17418441,235.853991737338,0.063839525,10.11384008922776,0.05547829,3066.0984,1.5777634,16.971935,663.8331,2.9026523,18.296253,2917.2952,9.100223,16.09945,0.14844006,0.07422003
17418442,234.61251065160153,0.05880471,10.401611766543802,0.051074438,3502.9414,1.6752352,16.827318,803.6567,3.0536692,18.088724,3266.6292,9.2306385,15.97665,0.12715119,0.063575596
